index,mass,t1,t2,uncertainty,uom
1,m0,2.704,1.291,0.001,s
2,m0,2.674,1.264,0.001,s
3,m0,2.372,1.120,0.001,s
4,m0,2.587,1.220,0.001,s
5,m0,2.532,1.193,0.001,s
6,m0,2.655,1.256,0.001,s
7,m0,2.518,1.197,0.001,s
8,m0,2.663,1.259,0.001,s
9,m0,2.713,1.292,0.001,s
10,m0,2.801,1.334,0.001,s
1,m0+m1,1.861,0.884,0.001,s
2,m0+m1,1.823,0.866,0.001,s
3,m0+m1,1.826,0.870,0.001,s
4,m0+m1,1.809,0.857,0.001,s
5,m0+m1,1.784,0.842,0.001,s
6,m0+m1,1.790,0.861,0.001,s
7,m0+m1,1.810,0.859,0.001,s
8,m0+m1,1.764,0.841,0.001,s
9,m0+m1,1.800,0.853,0.001,s
10,m0+m1,1.800,0.852,0.001,s
1,m0+m2,1.134,0.523,0.001,s
2,m0+m2,1.139,0.524,0.001,s
3,m0+m2,1.463,0.693,0.001,s
4,m0+m2,1.139,0.524,0.001,s
5,m0+m2,1.140,0.523,0.001,s
6,m0+m2,1.138,0.524,0.001,s
7,m0+m2,1.143,0.524,0.001,s
8,m0+m2,1.140,0.524,0.001,s
9,m0+m2,1.145,0.524,0.001,s
10,m0+m2,1.146,0.526,0.001,s
1,m0+m3,1.003,0.459,0.001,s
2,m0+m3,1.208,0.563,0.001,s
3,m0+m3,1.003,0.460,0.001,s
4,m0+m3,1.004,0.458,0.001,s
5,m0+m3,1.004,0.459,0.001,s
6,m0+m3,1.005,0.458,0.001,s
7,m0+m3,1.004,0.459,0.001,s
8,m0+m3,1.005,0.459,0.001,s
9,m0+m3,1.008,0.460,0.001,s
10,m0+m3,1.009,0.459,0.001,s
1,m0+m4,0.925,0.418,0.001,s
2,m0+m4,0.922,0.417,0.001,s
3,m0+m4,0.923,0.418,0.001,s
4,m0+m4,0.929,0.417,0.001,s
5,m0+m4,0.930,0.417,0.001,s
6,m0+m4,0.939,0.418,0.001,s
7,m0+m4,0.939,0.418,0.001,s
8,m0+m4,0.947,0.418,0.001,s
9,m0+m4,0.951,0.416,0.001,s
10,m0+m4,0.953,0.418,0.001,s
