index,mass,t1,uncertainty,uom
1,m0,,0.001,SEC
2,m0,,0.001,SEC
3,m0,,0.001,SEC
4,m0,,0.001,SEC
5,m0,,0.001,SEC
6,m0,,0.001,SEC
7,m0,,0.001,SEC
8,m0,,0.001,SEC
9,m0,,0.001,SEC
10,m0,,0.001,SEC
1,m0+m1,,0.001,SEC
2,m0+m1,,0.001,SEC
3,m0+m1,,0.001,SEC
4,m0+m1,,0.001,SEC
5,m0+m1,,0.001,SEC
6,m0+m1,,0.001,SEC
7,m0+m1,,0.001,SEC
8,m0+m1,,0.001,SEC
9,m0+m1,,0.001,SEC
10,m0+m1,,0.001,SEC
1,m0+m2,,0.001,SEC
2,m0+m2,,0.001,SEC
3,m0+m2,,0.001,SEC
4,m0+m2,,0.001,SEC
5,m0+m2,,0.001,SEC
6,m0+m2,,0.001,SEC
7,m0+m2,,0.001,SEC
8,m0+m2,,0.001,SEC
9,m0+m2,,0.001,SEC
10,m0+m2,,0.001,SEC
1,m0+m3,,0.001,SEC
2,m0+m3,,0.001,SEC
3,m0+m3,,0.001,SEC
4,m0+m3,,0.001,SEC
5,m0+m3,,0.001,SEC
6,m0+m3,,0.001,SEC
7,m0+m3,,0.001,SEC
8,m0+m3,,0.001,SEC
9,m0+m3,,0.001,SEC
10,m0+m3,,0.001,SEC
1,m0+m4,,0.001,SEC
2,m0+m4,,0.001,SEC
3,m0+m4,,0.001,SEC
4,m0+m4,,0.001,SEC
5,m0+m4,,0.001,SEC
6,m0+m4,,0.001,SEC
7,m0+m4,,0.001,SEC
8,m0+m4,,0.001,SEC
9,m0+m4,,0.001,SEC
10,m0+m4,,0.001,SEC
