event,distance,time,uncertainty,uom
1,d1,819,1,C26
2,d1,799,1,C26
3,d1,818,1,C26
4,d1,819,1,C26
5,d1,815,1,C26
6,d1,817,1,C26
7,d1,818,1,C26
8,d1,798,1,C26
9,d1,819,1,C26
10,d1,819,1,C26
11,d1,819,1,C26
12,d1,817,1,C26
13,d1,815,1,C26
14,d1,819,1,C26
15,d1,798,1,C26
16,d1,819,1,C26
17,d1,819,1,C26
18,d1,818,1,C26
19,d1,814,1,C26
20,d1,818,1,C26
21,d1,820,1,C26
22,d1,818,1,C26
23,d1,818,1,C26
24,d1,799,1,C26
25,d1,816,1,C26
26,d1,819,1,C26
27,d1,815,1,C26
28,d1,819,1,C26
29,d1,818,1,C26
30,d1,818,1,C26
31,d1,817,1,C26
32,d1,819,1,C26
33,d1,814,1,C26
34,d1,819,1,C26
35,d1,818,1,C26
36,d1,818,1,C26
37,d1,826,1,C26
38,d1,818,1,C26
39,d1,816,1,C26
40,d1,818,1,C26
41,d1,818,1,C26
42,d1,816,1,C26
43,d1,818,1,C26
44,d1,799,1,C26
45,d1,818,1,C26
46,d1,817,1,C26
47,d1,816,1,C26
48,d1,820,1,C26
49,d1,799,1,C26
50,d1,819,1,C26
51,d1,819,1,C26
52,d1,816,1,C26
53,d1,818,1,C26
54,d1,819,1,C26
55,d1,818,1,C26
56,d1,818,1,C26
57,d1,820,1,C26
58,d1,815,1,C26
59,d1,818,1,C26
60,d1,797,1,C26
61,d1,817,1,C26
62,d1,816,1,C26
63,d1,820,1,C26
64,d1,818,1,C26
65,d1,819,1,C26
66,d1,818,1,C26
67,d1,799,1,C26
68,d1,820,1,C26
69,d1,819,1,C26
70,d1,817,1,C26
71,d1,798,1,C26
72,d1,818,1,C26
73,d1,817,1,C26
74,d1,816,1,C26
75,d1,818,1,C26
76,d1,819,1,C26
77,d1,796,1,C26
78,d1,798,1,C26
79,d1,818,1,C26
80,d1,818,1,C26
81,d1,816,1,C26
82,d1,818,1,C26
83,d1,795,1,C26
84,d1,799,1,C26
85,d1,818,1,C26
86,d1,820,1,C26
87,d1,818,1,C26
88,d1,819,1,C26
89,d1,798,1,C26
90,d1,799,1,C26
91,d1,798,1,C26
92,d1,798,1,C26
93,d1,819,1,C26
94,d1,818,1,C26
95,d1,800,1,C26
96,d1,798,1,C26
97,d1,798,1,C26
98,d1,797,1,C26
99,d1,818,1,C26
100,d1,815,1,C26
1,d2,777,1,C26
2,d2,778,1,C26
3,d2,799,1,C26
4,d2,778,1,C26
5,d2,778,1,C26
6,d2,779,1,C26
7,d2,799,1,C26
8,d2,778,1,C26
9,d2,778,1,C26
10,d2,798,1,C26
11,d2,779,1,C26
12,d2,778,1,C26
13,d2,798,1,C26
14,d2,779,1,C26
15,d2,778,1,C26
16,d2,797,1,C26
17,d2,802,1,C26
18,d2,778,1,C26
19,d2,776,1,C26
20,d2,799,1,C26
21,d2,779,1,C26
22,d2,780,1,C26
23,d2,798,1,C26
24,d2,797,1,C26
25,d2,778,1,C26
26,d2,780,1,C26
27,d2,799,1,C26
28,d2,779,1,C26
29,d2,780,1,C26
30,d2,777,1,C26
31,d2,781,1,C26
32,d2,799,1,C26
33,d2,798,1,C26
34,d2,779,1,C26
35,d2,778,1,C26
36,d2,798,1,C26
37,d2,799,1,C26
38,d2,779,1,C26
39,d2,779,1,C26
40,d2,801,1,C26
41,d2,778,1,C26
42,d2,800,1,C26
43,d2,798,1,C26
44,d2,779,1,C26
45,d2,776,1,C26
46,d2,796,1,C26
47,d2,797,1,C26
48,d2,779,1,C26
49,d2,779,1,C26
50,d2,796,1,C26
51,d2,778,1,C26
52,d2,778,1,C26
53,d2,797,1,C26
54,d2,796,1,C26
55,d2,779,1,C26
56,d2,782,1,C26
57,d2,799,1,C26
58,d2,797,1,C26
59,d2,778,1,C26
60,d2,778,1,C26
61,d2,776,1,C26
62,d2,776,1,C26
63,d2,796,1,C26
64,d2,779,1,C26
65,d2,778,1,C26
66,d2,778,1,C26
67,d2,798,1,C26
68,d2,777,1,C26
69,d2,779,1,C26
70,d2,779,1,C26
71,d2,798,1,C26
72,d2,779,1,C26
73,d2,778,1,C26
74,d2,799,1,C26
75,d2,778,1,C26
76,d2,780,1,C26
77,d2,777,1,C26
78,d2,799,1,C26
79,d2,775,1,C26
80,d2,779,1,C26
81,d2,778,1,C26
82,d2,799,1,C26
83,d2,778,1,C26
84,d2,781,1,C26
85,d2,777,1,C26
86,d2,797,1,C26
87,d2,780,1,C26
88,d2,778,1,C26
89,d2,798,1,C26
90,d2,792,1,C26
91,d2,779,1,C26
92,d2,797,1,C26
93,d2,777,1,C26
94,d2,777,1,C26
95,d2,778,1,C26
96,d2,795,1,C26
97,d2,779,1,C26
98,d2,780,1,C26
99,d2,800,1,C26
100,d2,797,1,C26
1,d3,777,1,C26
2,d3,778,1,C26
3,d3,781,1,C26
4,d3,776,1,C26
5,d3,779,1,C26
6,d3,797,1,C26
7,d3,798,1,C26
8,d3,779,1,C26
9,d3,778,1,C26
10,d3,783,1,C26
11,d3,778,1,C26
12,d3,778,1,C26
13,d3,779,1,C26
14,d3,779,1,C26
15,d3,780,1,C26
16,d3,777,1,C26
17,d3,798,1,C26
18,d3,780,1,C26
19,d3,776,1,C26
20,d3,778,1,C26
21,d3,778,1,C26
22,d3,778,1,C26
23,d3,799,1,C26
24,d3,777,1,C26
25,d3,777,1,C26
26,d3,779,1,C26
27,d3,779,1,C26
28,d3,780,1,C26
29,d3,780,1,C26
30,d3,779,1,C26
31,d3,779,1,C26
32,d3,781,1,C26
33,d3,778,1,C26
34,d3,778,1,C26
35,d3,779,1,C26
36,d3,778,1,C26
37,d3,798,1,C26
38,d3,778,1,C26
39,d3,779,1,C26
40,d3,778,1,C26
41,d3,780,1,C26
42,d3,781,1,C26
43,d3,779,1,C26
44,d3,780,1,C26
45,d3,778,1,C26
46,d3,777,1,C26
47,d3,777,1,C26
48,d3,778,1,C26
49,d3,776,1,C26
50,d3,799,1,C26
51,d3,778,1,C26
52,d3,776,1,C26
53,d3,779,1,C26
54,d3,779,1,C26
55,d3,774,1,C26
56,d3,777,1,C26
57,d3,798,1,C26
58,d3,778,1,C26
59,d3,776,1,C26
60,d3,778,1,C26
61,d3,797,1,C26
62,d3,778,1,C26
63,d3,780,1,C26
64,d3,782,1,C26
65,d3,777,1,C26
66,d3,779,1,C26
67,d3,776,1,C26
68,d3,798,1,C26
69,d3,781,1,C26
70,d3,777,1,C26
71,d3,798,1,C26
72,d3,776,1,C26
73,d3,779,1,C26
74,d3,779,1,C26
75,d3,777,1,C26
76,d3,779,1,C26
77,d3,781,1,C26
78,d3,780,1,C26
79,d3,776,1,C26
80,d3,779,1,C26
81,d3,777,1,C26
82,d3,778,1,C26
83,d3,779,1,C26
84,d3,777,1,C26
85,d3,776,1,C26
86,d3,779,1,C26
87,d3,779,1,C26
88,d3,775,1,C26
89,d3,777,1,C26
90,d3,779,1,C26
91,d3,780,1,C26
92,d3,779,1,C26
93,d3,775,1,C26
94,d3,777,1,C26
95,d3,778,1,C26
96,d3,778,1,C26
97,d3,776,1,C26
98,d3,778,1,C26
99,d3,777,1,C26
100,d3,779,1,C26
1,d4,798,1,C26
2,d4,797,1,C26
3,d4,797,1,C26
4,d4,795,1,C26
5,d4,801,1,C26
6,d4,797,1,C26
7,d4,799,1,C26
