index,configuration,t,uncertainty,uom
1,l1,14.20,0.01,SEC
2,l1,14.20,0.01,SEC
3,l1,14.20,0.01,SEC
4,l1,14.20,0.01,SEC
5,l1,14.20,0.01,SEC
6,l1,14.20,0.01,SEC
7,l1,14.20,0.01,SEC
8,l1,14.20,0.01,SEC
9,l1,14.20,0.01,SEC
10,l1,14.20,0.01,SEC
1,l2,13.08,0.01,SEC
2,l2,13.08,0.01,SEC
3,l2,13.08,0.01,SEC
4,l2,13.08,0.01,SEC
5,l2,13.08,0.01,SEC
6,l2,13.08,0.01,SEC
7,l2,13.08,0.01,SEC
8,l2,13.08,0.01,SEC
9,l2,13.08,0.01,SEC
10,l2,13.08,0.01,SEC
1,l3,12.34,0.01,SEC
2,l3,12.34,0.01,SEC
3,l3,12.34,0.01,SEC
4,l3,12.35,0.01,SEC
5,l3,12.35,0.01,SEC
6,l3,12.35,0.01,SEC
7,l3,12.35,0.01,SEC
8,l3,12.35,0.01,SEC
9,l3,12.35,0.01,SEC
10,l3,12.35,0.01,SEC
1,l4,11.58,0.01,SEC
2,l4,11.58,0.01,SEC
3,l4,11.58,0.01,SEC
4,l4,11.58,0.01,SEC
5,l4,11.58,0.01,SEC
6,l4,11.58,0.01,SEC
7,l4,11.58,0.01,SEC
8,l4,11.58,0.01,SEC
9,l4,11.58,0.01,SEC
10,l4,11.58,0.01,SEC
1,l5,10.86,0.01,SEC
2,l5,10.87,0.01,SEC
3,l5,10.86,0.01,SEC
4,l5,10.86,0.01,SEC
5,l5,10.86,0.01,SEC
6,l5,10.86,0.01,SEC
7,l5,10.86,0.01,SEC
8,l5,10.86,0.01,SEC
9,l5,10.87,0.01,SEC
10,l5,10.87,0.01,SEC
1,l6,9.61,0.01,SEC
2,l6,9.61,0.01,SEC
3,l6,9.61,0.01,SEC
4,l6,9.61,0.01,SEC
5,l6,9.62,0.01,SEC
6,l6,9.62,0.01,SEC
7,l6,9.62,0.01,SEC
8,l6,9.62,0.01,SEC
9,l6,9.61,0.01,SEC
10,l6,9.62,0.01,SEC
